sheet,domain,item,detail,status,canonical_doc,next_gate_or_placeholder,as_at,weight,ready_pct,owner
category_map,Strategy / IP,North star,Stage A wearable then Stage B medical; new US patent embodiment,active,IP_NORTH_STAR,File / prosecute new US,2026-07-26,,,
category_map,Hardware Gen1,Clip + case,BOM REV8 / REV10 / ES2832AA2 / magnetic case (not Qi),partial,PRODUCT_ROADMAP §1,Charge-to-temple ≥50% SOC,2026-07-26,,,
category_map,Firmware / BLE,Ship stack,TGM GATT worn stream STAT blink OTA,done,VERSION_ALIGNMENT; FIRMWARE_1.0.70,Field soak with Ed/Pedro,2026-07-26,,,
category_map,Software Phase 0,Vitals,Temple HR/SpO2 placement honest device state,active,PRODUCT_ROADMAP §2-3,Ship kits past charge gate,2026-07-26,,,
category_map,Software Phase 1+,Muscle,IR-DC TFI SASHB Protocol B morning card,planned,PRODUCT_ROADMAP; OVERNIGHT_NIGHT_REPORT,Phase 0 pass + ≥6 h nights,2026-07-26,,,
category_map,Algorithms / Core ML,Temporalis MAM,Tier 0 thin; Tier 1 cohort planned,partial,CORE_ML_TRAINING_COHORT,20-30 users × Protocol A,2026-07-26,,,
category_map,Mobile patient,Oralable iOS,Vitals UX; overnight PDF shipped; IAP dark,partial,MOBILE_APP_FLOWS; APPS_AND_REVENUE_EVAL,Morning card + Soft Premium gate,2026-07-26,,,
category_map,Mobile professional,Oralable for Dentists,Deferred for Ed/Pedro,deferred,APPS_AND_REVENUE_EVAL,Phase 1+ shareable rollups + CloudKit,2026-07-26,,,
category_map,Market / GTM,Positioning,US SOM sketch; Path A consumer / Path B pro,partial,GTM_ONE_PAGE; MARKET_SIZING,Primary cites + CAC model,2026-07-26,,,
category_map,Commercial / funding,Point B,EUR 180k stack; Stage A cost ranges,partial,FUNDING_POINT_B; COST_AND_TIMELINE,F&F terms; CLN; runway monthlies,2026-07-26,,,
category_map,Regulatory Stage B,Medical path,510(k)/CE exploration — not Stage A claims,deferred,REGULATORY_TIMELINE,Funded clinical package,2026-07-26,,,
category_map,Traction / Voice,Evidence,Usage + founder voice,gap,data_room/README Ken areas,Pilot nights + Balance Points voice,2026-07-26,,,
component,HW,PCB00003 clip REV10,MAXM86161 PPG + LIS2DTW12 ACC,partial,PRODUCT_ROADMAP,Ship gate,2026-07-26,,,
component,HW,Oralable magnetic case,LTC6990 TX + USB-C (not Qi),partial,PRODUCT_ROADMAP,Cell energy / SOC rise on case,2026-07-26,,,
component,FW,nRF52832 NCS app,Worn-gated BLE stream STAT OTA,done,FIRMWARE_1.0.70,Field soak,2026-07-26,,,
component,Core,OralableCore SPM,Parser batteries Core ML package,done,OralableCore,Tier 1 retrain,2026-07-26,,,
component,App,Oralable patient,Vitals UX + Share clinical PDF,partial,MOBILE_APP_FLOWS,Morning card,2026-07-26,,,
component,App,Oralable for Dentists,Participant roster / handshake,deferred,APPS_AND_REVENUE_EVAL,Phase 1+ + CloudKit,2026-07-26,,,
component,Tooling,Mac Protocol A + night report,Gold labels + PDF pack,done,OVERNIGHT_NIGHT_REPORT,—,2026-07-26,,,
component,ML,BruxismMAM_Temporalis,Tier 0; Tier 1 planned,partial,CORE_ML_TRAINING_COHORT,Cohort recruitment,2026-07-26,,,
component,Cloud,CloudKit share codes,Patient to dentist upload,tbd,APPS_AND_REVENUE_EVAL,Prod CloudKit decision,2026-07-26,,,
component,HW Gen2,REV11 / ES4L15BA1 / FW 2.0.x,Longer nights better SOC/LED,planned,GEN1_GEN2_TRACKING,G2-P0…P6 bring-up,2026-07-26,,,
component,Repo,oralable_nrf,Firmware GATT board targets,done,DEVELOPMENT.md,1.0.70 ship,2026-07-26,,,
component,Repo,OralableCore,Shared BLE parse Core ML,done,OralableCore,Tier 1,2026-07-26,,,
component,Repo,oralable_swift,Patient + dentist iOS + website,partial,MOBILE_APP_FLOWS,4.3.3 patient; dentist dark,2026-07-26,,,
component,Repo,cursor_oralable,Python gold reports docs data room,done,docs/VERSION,1.3.15 / 1.1.42,2026-07-26,,,
timeline,calendar,2024-2025,Gen1 + IP foundation,done,PRODUCT_ROADMAP §3,Platform build; patents granted,2026-07-26,,,
timeline,calendar,H1 2026,Gen1 kits REV10; FW to 1.0.70,done,PRODUCT_ROADMAP §3,—,2026-07-26,,,
timeline,calendar,24 Jul 2026,Eng milestone Protocol A + Core ML Tier0 + night PDF,done,PRODUCT_ROADMAP §3,—,2026-07-26,,,
timeline,calendar,Now – Sep 2026,Phase 0 Stage A temple vitals; kits gated,active,PRODUCT_ROADMAP §3,Ship kits past charge gate,2026-07-26,,,
